id,lat,lon,ph,sand,clay,silt,cec,humus,stickstoff
A20921_4137,52.3025,10.3425,5.2,36.6,23.6,39.8,31.3,75.2,5.95
A20889_4223,52.2225,10.5575,5.2,37.7,26.3,36.0,29.2,80.2,8.59
A21096_4063,52.74,10.1575,4.9,58.2,13.0,28.8,25.8,87.2,5.03
A20851_4056,52.1275,10.14,5.1,22.1,29.0,48.9,30.3,68.8,5.8
A20984_4327,52.46,10.8175,4.9,62.7,14.0,23.3,28.9,82.4,7.15
A20929_4171,52.3225,10.4275,5.9,52.1,19.5,28.4,30.5,57.3,5.92
A20985_4324,52.4625,10.81,4.8,59.6,14.9,25.5,28.9,79.5,7.49
A20982_4323,52.455,10.8075,5.0,62.0,13.7,24.3,28.2,72.7,7.5
A20875_4299,52.1875,10.7475,5.3,24.6,32.0,43.4,25.6,68.7,5.3
A20875_4300,52.1875,10.75,5.3,24.6,32.0,43.4,25.6,68.7,5.3
A20900_4179,52.25,10.4475,5.7,37.4,22.5,40.1,31.5,66.9,6.17
A20876_4300,52.19,10.75,5.4,20.2,32.2,47.5,27.5,85.4,6.21
A20918_4246,52.295,10.615,6.4,41.2,22.1,36.7,28.1,65.2,9.02
A20876_4299,52.19,10.7475,5.4,19.7,32.7,47.6,27.7,78.5,6.7
A20924_4189,52.31,10.4725,6.2,48.7,19.8,31.5,29.6,59.2,6.73
A20928_4184,52.32,10.46,5.7,50.1,19.3,30.6,29.6,73.4,7.88
A20928_4166,52.32,10.415,6.3,46.1,17.8,36.2,30.4,58.4,5.81
A20922_4254,52.305,10.635,6.5,48.4,19.2,32.3,32.6,63.4,7.14
