id,lat,lon,haupt,haupt_anteil,waldanteil,pixel,verteilung
W0247,52.3203,10.6021,5,0.732,0.057,40000,5:0.732;17:0.074;10:0.061;4:0.05;9:0.03;6:0.022
W0248,52.3203,10.6317,5,0.752,0.066,29000,5:0.752;17:0.094;3:0.068;9:0.036;10:0.033
W0249,52.3203,10.6612,5,0.593,0.322,40000,5:0.593;9:0.247;10:0.073;3:0.039;2:0.02
W0250,52.3203,10.6908,5,0.784,0.182,40000,5:0.784;3:0.056;2:0.05;10:0.045;17:0.032
W0251,52.3203,10.7203,5,0.74,0.68,40000,5:0.74;9:0.088;3:0.061;10:0.044;17:0.023;4:0.022
W0252,52.3203,10.7498,5,0.719,0.088,40000,5:0.719;17:0.093;10:0.047;2:0.042;3:0.035;9:0.03
W0253,52.3203,10.8384,5,0.595,0.28,39800,5:0.595;8:0.083;3:0.076;9:0.075;10:0.064;4:0.061
W0254,52.3203,10.868,5,0.737,0.065,40000,5:0.737;3:0.072;17:0.06;16:0.031;10:0.03;4:0.021
W0255,52.3203,10.9271,5,0.591,0.589,40000,5:0.591;9:0.103;3:0.075;10:0.068;8:0.057;17:0.044
W0256,52.3203,10.9566,5,0.665,0.82,40000,5:0.665;3:0.153;9:0.077;10:0.048
