id,lat,lon,ph,cec,sand,clay,silt,humus,stickstoff
F52.588_10.087,52.588,10.087,5.73,19.43,69.4,14.53,16.07,46.37,3.63
F52.255_10.458,52.255,10.458,5.63,23.33,38.37,23.83,37.8,42.03,3.24
F51.781_10.988,51.781,10.988,5.4,25.23,26.43,20.07,53.53,47.27,3.98
F52.569_10.121,52.569,10.121,6.2,18.63,65.33,16.0,18.63,39.67,3.25
F53.382_9.327,53.382,9.327,5.77,20.53,74.2,9.97,15.87,76.73,4.63
F52.658_11.1,52.658,11.1,6.13,24.2,58.07,14.13,27.8,44.4,4.92
F52.26_9.494,52.26,9.494,4.63,20.73,16.57,28.67,54.83,67.53,3.74
F53.264_9.901,53.264,9.901,5.67,23.0,67.73,9.13,23.13,53.13,3.56
F52.316_10.582,52.316,10.582,5.17,22.53,41.43,26.1,32.47,59.83,3.45
F53.137_9.833,53.137,9.833,5.03,20.77,66.17,11.57,22.27,70.4,3.38
F53.46_9.877,53.46,9.877,4.97,18.87,44.1,14.73,41.2,57.57,3.74
F51.682_9.495,51.682,9.495,5.03,20.2,24.13,26.43,49.4,53.53,3.76
F52.12_11.643,52.12,11.643,6.23,24.23,25.07,27.93,47.0,54.83,4.27
F52.336_10.713,52.336,10.713,5.0,21.6,53.77,17.7,28.57,45.77,3.44
F51.898_10.775,51.898,10.775,6.67,22.13,22.27,23.83,53.9,25.43,3.34
F52.389_9.935,52.389,9.935,5.3,18.9,45.3,25.5,29.23,42.53,3.35
F52.287_10.71,52.287,10.71,6.47,23.73,41.77,23.07,35.2,31.0,4.27
F51.773_9.548,51.773,9.548,5.1,25.93,18.93,29.47,51.6,71.73,4.41
F53.123_10.29,53.123,10.29,4.83,19.1,52.5,15.9,31.63,59.97,2.73
F53.058_11.449,53.058,11.449,5.13,21.23,67.93,9.63,22.47,44.9,3.84
F53.296_10.728,53.296,10.728,6.07,19.17,57.3,18.7,24.03,48.67,3.43
F53.26_10.43,53.26,10.43,5.77,20.37,72.67,10.4,16.97,50.6,4.12
F51.733_10.619,51.733,10.619,4.6,28.07,23.03,28.77,48.23,93.17,5.04
F53.265_10.295,53.265,10.295,5.13,17.9,62.73,11.93,25.33,47.57,2.84
F52.199_10.181,52.199,10.181,7.0,21.27,19.87,24.43,55.7,30.4,3.79
F51.896_10.396,51.896,10.396,5.23,23.87,21.1,30.77,48.1,58.77,3.96
F51.541_9.989,51.541,9.989,6.63,20.8,34.4,30.5,35.13,32.07,3.49
F53.145_9.079,53.145,9.079,5.27,19.6,70.4,9.47,20.13,65.43,4.09
F51.682_9.767,51.682,9.767,4.9,23.33,23.0,27.87,49.17,67.17,4.1
F52.137_9.35,52.137,9.35,5.37,19.43,19.1,27.13,53.77,48.03,3.86
F52.307_9.322,52.307,9.322,6.27,20.7,26.23,33.23,40.57,33.93,3.67
F51.87_10.043,51.87,10.043,5.4,22.47,23.63,27.07,49.33,37.4,2.79
F52.358_10.981,52.358,10.981,6.07,22.8,48.67,17.23,34.03,40.0,4.02
F51.825_9.542,51.825,9.542,4.6,24.4,15.53,27.33,57.2,72.6,3.72
F53.281_10.248,53.281,10.248,5.33,19.5,63.33,11.8,24.83,48.53,3.87
F52.661_9.249,52.661,9.249,6.03,20.5,57.47,13.1,29.43,42.27,2.92
F52.932_9.296,52.932,9.296,5.2,17.1,67.43,8.27,24.27,51.43,3.16
F52.474_10.023,52.474,10.023,5.43,18.13,56.27,20.77,22.93,45.13,3.36
F52.37_9.821,52.37,9.821,5.7,22.17,51.93,20.1,27.97,40.6,4.82
F52.342_10.661,52.342,10.661,5.2,22.0,43.8,20.9,35.33,38.63,3.94
F51.721_10.96,51.721,10.96,5.27,21.23,20.87,25.6,53.53,55.4,4.05
F53.247_10.712,53.247,10.712,5.43,18.17,55.97,14.7,29.33,60.03,3.3
F51.672_11.133,51.672,11.133,5.23,22.6,19.6,28.77,51.63,45.3,4.33
