datum,meldungen
2025-03-24,1
2025-03-25,4
2025-03-26,6
2025-03-28,1
2025-03-29,8
2025-03-30,1
2025-03-31,1
2025-04-01,3
2025-04-02,1
2025-04-03,3
2025-04-05,2
2025-04-06,3
2025-04-09,7
2025-04-10,1
2025-04-11,1
2025-04-12,5
2025-04-13,1
2025-04-15,2
2025-04-16,1
2025-04-18,1
2025-04-20,3
2025-04-21,2
2025-04-24,4
2025-04-25,1
2025-04-26,1
2025-04-28,2
2025-04-29,1
2025-05-02,2
2025-05-03,5
2025-05-05,2
2025-05-06,2
2025-05-08,1
2025-05-09,2
2025-05-12,2
2025-05-13,1
2025-05-14,1
2025-05-16,2
2025-05-17,2
2025-05-18,3
2025-05-20,1
2025-05-23,1
2025-05-24,2
2025-05-25,1
2025-05-29,1
2025-05-31,1
2025-06-04,1
2025-06-05,2
2025-06-07,1
2025-06-09,6
2025-06-10,7
2025-06-11,2
2025-06-15,3
2025-06-22,1
2025-06-23,1
2025-06-29,1
2025-06-30,1
2025-07-05,1
2025-07-06,2
2025-07-07,1
2025-07-08,1
2025-07-13,1
2025-07-14,1
2025-07-16,1
2025-07-17,1
2025-07-18,4
2025-07-19,2
2025-07-20,7
2025-07-21,2
2025-07-22,4
2025-07-23,2
2025-07-24,4
2025-07-25,2
2025-07-26,1
2025-07-27,7
2025-07-28,6
2025-07-29,13
2025-07-30,6
2025-07-31,5
2025-08-01,14
2025-08-02,17
2025-08-03,21
2025-08-04,13
2025-08-05,15
2025-08-06,16
2025-08-07,13
2025-08-08,2
2025-08-09,2
2025-08-10,2
2025-08-11,1
2025-08-12,2
2025-08-14,3
2025-08-16,1
2025-08-17,3
2025-08-18,2
2025-08-19,3
2025-08-20,2
2025-08-22,2
2025-08-23,1
2025-08-24,1
2025-08-25,4
2025-08-26,1
2025-08-27,1
2025-08-29,2
2025-08-30,1
2025-08-31,1
2025-09-01,1
2025-09-02,4
2025-09-04,2
2025-09-06,6
2025-09-07,1
2025-09-08,2
2025-09-11,1
2025-09-13,2
2025-09-14,9
2025-09-15,5
2025-09-16,3
2025-09-17,6
2025-09-18,5
2025-09-19,9
2025-09-20,1
2025-09-21,2
2025-09-22,3
2025-09-23,4
2025-09-24,1
2025-09-25,1
2025-09-26,4
2025-09-27,1
2025-09-28,12
2025-09-29,3
2025-09-30,1
2025-10-01,6
2025-10-02,4
2025-10-03,14
2025-10-05,8
2025-10-06,4
2025-10-07,8
2025-10-08,5
2025-10-09,7
2025-10-10,6
2025-10-11,7
2025-10-12,20
2025-10-13,4
2025-10-14,2
2025-10-15,12
2025-10-16,3
2025-10-17,13
2025-10-18,7
2025-10-19,16
2025-10-20,11
2025-10-21,4
2025-10-22,20
2025-10-23,2
2025-10-24,7
2025-10-25,26
2025-10-26,61
2025-10-27,3
2025-10-28,2
2025-10-29,15
2025-10-30,12
2025-10-31,4
2025-11-01,4
2025-11-02,23
2025-11-03,16
2025-11-04,8
2025-11-05,11
2025-11-06,4
2025-11-07,9
2025-11-08,8
2025-11-09,10
2025-11-10,1
2025-11-11,8
2025-11-12,9
2025-11-13,10
2025-11-16,14
2025-11-17,3
2025-11-18,12
2025-11-19,5
2025-11-20,1
2025-11-21,8
2025-11-22,1
2025-11-23,2
2025-11-26,2
2025-11-28,2
2025-12-01,1
2025-12-02,2
2025-12-03,4
2025-12-04,1
2025-12-05,4
2025-12-06,5
2025-12-07,1
2025-12-08,6
2025-12-09,1
2025-12-10,1
2025-12-11,1
2025-12-12,2
2025-12-14,5
2025-12-15,3
2025-12-16,1
2025-12-17,1
2025-12-18,7
2025-12-19,2
2025-12-20,4
2025-12-22,3
2025-12-24,1
2025-12-29,3
2025-12-30,1
2026-01-01,1
2026-01-03,2
2026-01-11,1
2026-01-13,1
2026-01-14,1
2026-01-15,3
2026-01-16,6
2026-01-17,3
2026-01-18,4
2026-01-19,1
2026-01-20,1
2026-01-21,2
2026-01-24,2
2026-01-25,1
2026-01-27,1
2026-01-28,1
2026-03-01,3
2026-03-04,4
2026-03-05,3
2026-03-07,8
2026-03-08,2
2026-03-11,9
2026-03-13,2
2026-03-14,3
2026-03-15,1
2026-03-16,10
2026-03-17,2
2026-03-18,6
2026-03-19,11
2026-03-20,3
2026-03-22,8
2026-03-23,7
2026-03-24,5
2026-03-26,3
2026-03-27,10
2026-03-28,8
2026-03-29,12
2026-03-31,2
2026-04-01,3
2026-04-02,1
2026-04-05,1
2026-04-06,12
2026-04-07,1
2026-04-10,1
2026-04-11,1
2026-04-12,11
2026-04-15,4
2026-04-17,1
2026-04-18,2
2026-04-19,1
2026-04-21,1
2026-04-24,1
2026-04-25,1
2026-04-26,6
2026-04-27,1
2026-04-29,2
2026-04-30,2
2026-05-02,1
2026-05-03,4
2026-05-05,2
2026-05-06,1
2026-05-07,2
2026-05-08,2
2026-05-09,3
2026-05-10,1
2026-05-12,1
2026-05-13,4
2026-05-14,3
2026-05-15,5
2026-05-16,6
2026-05-17,5
2026-05-18,1
2026-05-19,1
2026-05-20,1
2026-05-21,4
2026-05-22,7
2026-05-23,4
2026-05-24,2
2026-05-25,1
2026-05-27,2
2026-05-28,1
2026-05-29,1
2026-05-30,6
2026-05-31,3
2026-06-01,4
2026-06-02,1
2026-06-03,2
2026-06-05,9
2026-06-06,7
2026-06-07,5
2026-06-08,4
2026-06-09,1
2026-06-10,4
