art,gbif_id,datum,lat,lon,monat,hoehe,regen_reife,regen_frisch,regentage,tage_seit_regen,regen_60,bilanz_14,bilanz_60,temp,bt07,bf07,bt728,bf728,frosttage,min_temp,min_boden,tage_vorhanden,tage_lang,tage_et0
schwefelporling,6411069352,2026-05-24,52.18754,9.60633,5,92.0,63.4,1.4,10,4,161.5,20.8,-4.1,11.7,15.5,0.268,13.8,0.254,,,,15,,
schwefelporling,6343052573,2026-05-22,51.92283,9.07848,5,146.0,56.5,11.1,8,2,173.1,30.0,23.8,9.9,12.0,0.329,11.0,0.335,,,,15,,
schwefelporling,6343074496,2026-05-25,52.41538,10.07487,5,60.0,62.7,0.0,8,5,146.6,14.5,-23.9,12.8,17.6,0.225,15.9,0.236,,,,15,,
schwefelporling,6343055966,2026-05-21,53.28128,10.24793,5,22.0,29.4,16.7,9,1,123.9,5.8,-37.4,10.4,12.2,0.163,11.1,0.154,,,,15,,
schwefelporling,6343235714,2026-05-24,52.27016,10.57463,5,75.0,64.3,0.5,7,4,157.6,17.9,-11.6,12.3,16.3,0.194,14.2,0.228,,,,15,,
schwefelporling,6343452595,2026-05-24,52.26516,10.55109,5,75.0,64.3,0.5,7,4,157.6,17.9,-11.6,12.3,16.3,0.194,14.2,0.228,,,,15,,
schwefelporling,6343316302,2026-05-22,52.2297,10.51277,5,78.0,43.7,8.5,7,2,140.8,9.6,-27.3,11.4,14.8,0.171,13.2,0.23,,,,15,,
schwefelporling,6343371573,2026-05-17,52.22238,10.59549,5,83.0,72.3,11.8,9,3,147.1,48.7,-6.0,10.5,7.0,0.327,5.3,0.305,,,,15,,
schwefelporling,6343339921,2026-05-25,52.26668,10.55105,5,93.0,51.4,0.0,7,5,137.3,0.9,-40.2,13.2,19.3,0.134,16.7,0.209,,,,15,,
schwefelporling,6343465034,2026-05-15,52.271,10.58302,5,88.0,61.8,29.8,8,1,145.2,51.7,-6.1,11.7,9.4,0.327,9.5,0.272,,,,15,,
schwefelporling,6343465865,2026-05-20,52.52028,9.92136,5,64.0,77.5,22.5,11,0,163.8,64.5,5.5,10.0,11.1,0.207,10.5,0.213,,,,15,,
schwefelporling,6343622913,2026-05-15,52.48282,9.38436,5,38.0,62.3,22.8,9,1,154.8,46.5,11.1,11.6,9.9,0.385,10.1,0.388,,,,15,,
schwefelporling,6343681453,2026-05-05,52.39417,9.8138,5,60.0,0.0,10.1,2,0,77.5,-45.6,-68.3,12.0,16.3,0.123,14.2,0.186,,,,15,,
schwefelporling,6343779386,2026-05-30,53.36276,10.19828,5,7.0,16.5,1.5,5,10,114.0,-44.8,-75.3,16.0,19.2,0.058,16.9,0.088,,,,15,,
schwefelporling,6343808950,2026-05-25,51.94046,10.2218,5,234.0,55.1,0.0,7,5,182.9,9.3,24.0,11.6,15.5,0.286,13.8,0.297,,,,15,,
schwefelporling,6343829058,2026-05-01,53.37185,10.53347,5,30.0,17.9,0.0,2,11,69.1,-25.8,-61.4,9.3,10.0,0.274,9.2,0.336,,,,15,,
schwefelporling,6343847705,2026-05-22,52.92096,9.23427,5,26.0,41.7,15.7,9,2,134.8,17.9,-20.7,10.7,13.0,0.288,12.0,0.28,,,,15,,
schwefelporling,6343839369,2026-05-30,52.60748,11.86744,5,35.0,6.8,1.4,2,10,101.3,-58.7,-86.9,16.8,20.0,0.201,18.2,0.291,,,,15,,
schwefelporling,6343885244,2026-05-17,52.36286,9.83745,5,72.0,85.7,15.4,9,3,143.4,64.0,-15.7,11.1,9.7,0.328,10.0,0.278,,,,15,,
schwefelporling,6343948997,2026-05-28,51.50306,10.01421,5,252.0,21.6,0.0,3,8,147.9,-35.7,-33.5,13.9,18.4,0.173,16.8,0.237,,,,15,,
