id,lat,lon,hoehe
W0575,52.5725,10.3954,57.0
W0576,52.5725,10.4249,62.0
W0577,52.5725,10.4545,55.0
W0578,52.5725,10.484,71.0
W0579,52.5725,10.5135,71.0
W0580,52.5725,10.5431,56.0
W0581,52.5725,10.5726,71.0
W0582,52.5725,10.6021,70.0
W0583,52.5725,10.6317,63.0
W0584,52.5725,10.6612,59.0
W0585,52.5725,10.6908,86.0
W0586,52.5725,10.7203,92.0
W0587,52.5725,10.7498,75.0
W0588,52.5725,10.7794,75.0
W0589,52.5725,10.8089,74.0
W0590,52.5725,10.8384,77.0
W0591,52.5725,10.868,69.0
W0592,52.5725,10.8975,77.0
W0593,52.5725,10.9271,76.0
W0594,52.5725,11.0747,63.0
W0595,52.5725,11.1338,72.0
W0596,52.5905,10.1591,50.0
W0597,52.5905,10.1886,41.0
W0598,52.5905,10.2182,54.0
W0599,52.5905,10.2477,52.0
W0600,52.5905,10.2772,48.0
W0601,52.5905,10.3068,49.0
W0602,52.5905,10.3363,66.0
W0603,52.5905,10.4545,60.0
W0604,52.5905,10.484,70.0
W0605,52.5905,10.5135,64.0
W0606,52.5905,10.5431,62.0
W0607,52.5905,10.5726,65.0
W0608,52.5905,10.6317,73.0
W0609,52.5905,10.6612,62.0
W0610,52.5905,10.6908,90.0
W0611,52.5905,10.7203,95.0
W0612,52.5905,10.7498,95.0
W0613,52.5905,10.7794,85.0
W0614,52.5905,10.8089,102.0
W0615,52.5905,10.8384,96.0
W0616,52.5905,10.868,76.0
W0617,52.5905,10.9566,71.0
W0618,52.5905,11.0157,77.0
W0619,52.5905,11.0452,73.0
W0620,52.5905,11.1338,82.0
W0621,52.6086,10.1295,49.0
W0622,52.6086,10.1591,43.0
W0623,52.6086,10.1886,42.0
W0624,52.6086,10.2182,60.0
W0625,52.6086,10.2477,49.0
W0626,52.6086,10.2772,47.0
W0627,52.6086,10.3068,56.0
W0628,52.6086,10.3658,60.0
W0629,52.6086,10.3954,73.0
W0630,52.6086,10.4249,56.0
W0631,52.6086,10.484,64.0
W0632,52.6086,10.5135,62.0
W0633,52.6086,10.5431,79.0
W0634,52.6086,10.6021,60.0
W0635,52.6086,10.6317,58.0
W0636,52.6086,10.6612,72.0
W0637,52.6086,10.6908,75.0
W0638,52.6086,10.7203,72.0
W0639,52.6086,10.7498,100.0
W0640,52.6086,10.7794,96.0
W0641,52.6086,10.8089,106.0
W0642,52.6086,10.8384,109.0
W0643,52.6086,10.868,83.0
W0644,52.6086,10.9566,71.0
W0645,52.6086,10.9861,76.0
W0646,52.6086,11.0157,92.0
W0647,52.6086,11.0452,57.0
W0648,52.6086,11.0747,80.0
W0649,52.6086,11.1043,97.0
W0650,52.6086,11.1338,79.0
W0651,52.6266,10.1,47.0
W0652,52.6266,10.1295,40.0
W0653,52.6266,10.1591,57.0
W0654,52.6266,10.1886,47.0
