id,lat,lon,ph,cec,sand,clay,silt,humus,stickstoff
W0237,52.3023,10.9861,5.03,21.77,32.03,20.87,47.1,39.9,3.76
W0239,52.3023,11.0452,5.8,24.57,52.13,17.47,30.4,45.77,4.74
W0240,52.3023,11.0747,4.9,23.77,50.73,16.63,32.63,42.47,4.32
W0241,52.3023,11.1043,6.47,24.4,46.13,21.4,32.47,32.53,4.26
W0242,52.3023,11.1338,4.83,23.27,36.77,22.4,40.83,50.63,3.88
W0244,52.3203,10.3068,5.43,19.93,43.23,22.27,34.5,46.6,4.12
W0245,52.3203,10.3363,5.73,21.83,35.3,24.17,40.53,45.8,3.56
W0246,52.3203,10.5726,6.23,24.07,42.87,26.23,30.87,40.4,3.12
W0247,52.3203,10.6021,6.57,23.5,43.37,18.97,37.7,34.2,3.58
W0248,52.3203,10.6317,5.43,25.23,47.83,21.33,30.83,43.63,3.56
W0249,52.3203,10.6612,5.27,23.1,45.97,20.57,33.47,48.63,4.92
W0250,52.3203,10.6908,6.57,21.63,47.23,19.8,32.97,33.27,4.15
W0251,52.3203,10.7203,5.1,22.7,47.6,18.67,33.8,44.97,3.8
W0252,52.3203,10.7498,6.4,22.33,48.37,17.9,33.73,33.37,3.49
W0253,52.3203,10.8384,5.7,21.4,46.17,21.17,32.6,37.1,3.64
W0254,52.3203,10.868,6.67,21.5,47.03,22.0,30.93,31.27,3.49
W0255,52.3203,10.9271,5.1,23.0,37.83,22.9,39.3,49.0,3.74
W0256,52.3203,10.9566,5.03,21.93,31.73,22.87,45.43,40.23,3.4
W0257,52.3203,10.9861,6.0,21.9,40.27,22.1,37.7,31.97,3.89
W0258,52.3203,11.0452,5.07,22.83,47.43,16.83,35.73,58.6,4.39
W0259,52.3383,10.1,6.37,20.23,46.0,19.83,34.13,32.17,2.98
W0260,52.3383,10.1295,5.23,19.97,43.07,19.37,37.53,47.53,3.46
W0261,52.3383,10.3363,5.77,20.17,41.0,24.13,34.9,42.77,3.49
W0262,52.3383,10.3658,6.43,23.77,36.1,22.17,41.7,37.7,2.91
W0265,52.3383,10.5726,6.67,22.0,44.13,19.8,36.07,34.13,3.32
W0266,52.3383,10.6021,5.13,22.47,45.83,20.2,34.0,47.07,3.47
W0267,52.3383,10.6317,5.03,22.13,48.27,17.53,34.23,44.07,3.51
W0268,52.3383,10.6612,5.3,21.9,47.17,19.53,33.3,39.47,3.72
W0269,52.3383,10.6908,5.6,22.87,52.3,18.53,29.13,44.1,4.07
W0270,52.3383,10.7203,4.97,21.77,53.37,18.73,27.9,52.73,3.79
W0271,52.3383,10.7498,6.4,21.5,54.17,18.07,27.73,33.87,3.35
W0272,52.3383,10.868,6.57,23.3,44.23,21.4,34.4,29.53,3.94
W0273,52.3383,10.8975,5.07,23.47,38.2,19.63,42.17,46.17,3.47
W0274,52.3383,10.9271,6.73,21.73,43.8,19.77,36.43,32.13,3.98
W0275,52.3383,10.9566,6.83,22.0,47.6,19.73,32.63,32.17,4.13
