datum,ort,lat,lon,regen_icon,regen_era5,temperatur,bt07,bf07,bt728,bf728,et0,quelle
2026-08-01,W0152,52.2302,10.5726,0.6,,19.1,20.2,0.208,19.9,0.143,3.72,icon_d2
2026-08-01,W0153,52.2302,10.6021,1.1,,19.1,20.2,0.208,19.9,0.143,3.66,icon_d2
2026-08-01,W0154,52.2302,10.6317,0.9,,18.9,20.2,0.208,19.9,0.143,3.55,icon_d2
2026-08-01,W0155,52.2302,10.6612,1.4,,18.7,20.2,0.206,20.1,0.145,3.53,icon_d2
2026-08-01,W0156,52.2302,10.7203,1.9,,18.4,20.5,0.145,20.7,0.148,3.46,icon_d2
2026-08-01,W0157,52.2302,10.7498,1.7,,17.9,19.8,0.145,20.0,0.148,3.35,icon_d2
2026-08-01,W0158,52.2302,10.7794,1.6,,17.5,19.6,0.145,19.8,0.148,3.31,icon_d2
2026-08-01,W0159,52.2302,10.8089,1.3,,18.0,20.5,0.145,20.7,0.148,3.43,icon_d2
2026-08-01,W0160,52.2302,10.8384,1.2,,18.5,20.5,0.173,20.5,0.151,3.59,icon_d2
2026-08-01,W0161,52.2302,11.0157,2.0,,18.8,21.4,0.166,21.6,0.148,3.24,icon_d2
2026-08-01,W0162,52.2302,11.0452,1.7,,18.4,21.4,0.166,21.6,0.148,3.2,icon_d2
2026-08-01,W0163,52.2302,11.0747,1.8,,18.6,21.8,0.194,22.1,0.15,3.25,icon_d2
2026-08-01,W0164,52.2302,11.1043,1.4,,19.0,21.8,0.194,22.1,0.15,3.38,icon_d2
2026-08-01,W0165,52.2482,10.1591,0.2,,18.5,20.8,0.17,20.9,0.149,3.87,icon_d2
2026-08-01,W0166,52.2482,10.4545,0.2,,19.0,21.2,0.147,21.4,0.142,3.8,icon_d2
2026-08-01,W0167,52.2482,10.5135,0.0,,19.5,21.2,0.147,21.4,0.142,3.84,icon_d2
2026-08-01,W0168,52.2482,10.6317,0.9,,19.0,20.2,0.206,20.1,0.145,3.56,icon_d2
2026-08-01,W0169,52.2482,10.6612,1.4,,18.8,20.2,0.206,20.1,0.145,3.53,icon_d2
2026-08-01,W0170,52.2482,10.6908,1.9,,18.8,20.2,0.206,20.1,0.145,3.5,icon_d2
2026-08-01,W0171,52.2482,10.7498,1.7,,18.3,20.5,0.173,20.5,0.151,3.39,icon_d2
2026-08-01,W0172,52.2482,10.7794,1.6,,18.1,20.5,0.173,20.5,0.151,3.36,icon_d2
